KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko04071	4458	1842	3258	2786	1934	2144	2472	2084	4001	1267	2495	2857	2008	1369	2139	2346	1471	2930	2386	1203	2917	2255	2421	3086	4402	4681	5152	3890	7743	2085	5336	3590	2290	4131	6046	3836	3035	4696	8061	5899	6234	9768	3719	1978	1401	1623	2934	160659
ko04072	2090	2282	1600	3348	1695	2112	2128	1817	1950	2351	1731	2008	2188	1926	1742	3600	2372	2864	1985	1837	2235	1952	2251	2616	4530	3188	5690	6233	5280	3892	4135	4937	3418	4098	5807	7734	3308	6713	5745	7741	5811	13247	4563	3288	2293	2913	2959	170203
ko04075	2	1	3	0	0	0	0	0	0	4	1	4	0	0	0	0	0	4	4	7	1	4	1	6	1	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	54
ko04080	1270	1143	1244	1286	966	960	1145	874	871	1305	1273	1336	1347	1028	1106	1695	1364	1605	1423	986	1327	1272	1608	1476	2445	3016	4967	5313	3132	2483	5090	3565	2505	2900	5423	3482	2985	6705	5058	4753	3943	8892	3476	2236	1023	1331	1549	116182
ko04110	9	9	11	8	8	22	20	6	3	18	48	11	22	51	17	33	15	53	53	29	14	6	33	22	7	24	17	21	15	23	9	52	7	11	10	26	8	30	14	29	16	51	34	7	10	38	49	1029
ko04111	13	11	8	8	14	18	22	7	7	14	21	10	31	21	35	11	42	10	16	29	16	11	31	46	30	97	78	54	28	48	50	94	39	27	46	55	19	62	77	61	133	206	101	43	11	19	33	1863
ko04112	168251	151858	165801	170326	118423	156810	165236	131017	157387	167749	179269	165160	170888	150153	155229	192497	198683	205518	157581	148236	174645	160483	185907	192654	281914	469623	412112	407352	526923	384991	405718	416347	308139	392979	522220	620009	338089	607180	538730	646120	624941	702980	412080	319906	145530	214344	177547	13865535
ko04113	4670	6152	4519	8195	3357	4881	5184	4113	4520	6008	4824	5208	4958	4797	4221	8853	5426	7499	4820	4899	5408	4489	4772	4905	8766	14599	13358	8170	15488	9209	10912	12294	7840	11490	13516	22543	8656	12450	15165	20029	17018	17476	10338	8276	5282	6039	6563	402155
ko04114	14	8	4	7	8	16	20	3	3	14	9	19	10	15	12	6	9	23	16	28	9	8	19	14	6	6	13	11	9	6	4	2	4	7	5	21	6	7	8	6	6	6	13	3	5	9	14	471
ko04115	26	15	25	73	28	45	32	21	64	9	27	19	24	27	23	35	12	20	44	21	55	12	13	22	23	39	48	8	56	31	12	31	65	9	229	460	51	237	88	108	23	444	34	113	24	17	32	2874
